"","x"
"128","Think Like a Data Scientist: Tackle the data science process step-by-step #DataScience https://t.co/Us6CNsmlfu"
"129","6/n

I think you can improve majoring in Econ with a second major in something like statistics (get data science too) or psychology (double down on marketing. You can also do Econ/CS if you’re really ambitious."
"130","@gosensgo101 GREAT POINT. We thought it was hunger games for the first dose? Imagine this non data/ science gov rolling out second doses when they think “ah people are 85% protected, just send shit wherever”"
"131","Now that Grasshopper is running on the web, I'd love to see someone take this interface and apply it to domains outside architecture. It's such a fun way to code. I think fields like data-science could really benefit from a more friendly on-ramp."
"132","Now that Grasshopper is running on the web, I'd love to see someone take this interface and apply it to domains outside architecture. It's such a fun way to code. I think fields like data-science could really benefit from a more friendly on-ramp."
"133","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"134","'Don’t let anybody else impose on you what they think you’re capable of and what’s the best looking life and career for you.' This week's #JazzShaper guest is co-founder of data science company @dunnhumby, @Edwina_Dunn. https://t.co/QanxiKUGLy"
"135","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
"136","If you want to learn more about what I do at @Zymergen and how we think about data science, see our new blog post! If it sounds interesting, we’re hiring! https://t.co/RhJoR8cNze"
"137","@Brgut2 There are many doctors and scientists not in charge of covid in BC, too. Why do you assume ""thousands of social media people"" are not scientifically literate enough to parse data? Science isn't based on what you ""think"", it's based on data. That they've been hiding."
"138","Whenever I try to picture what an accurate movie star hacker would look like today, all I can think of is a data science engineer that got bored with too much free time 🤔"
"139","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"140","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"141","Just quit my job to focus on trading and data science. Lowkey feeling some pressure but I think this is the best risk I'll take my whole life."
"142","You can prob tell that I’m bullish on experimentation. Truthfully, I think experimentation is the clearest path to ROI for data science teams. However, increasing experiment velocity while maintaining rigor is hard. Great read from @chesharma87 on the challenge and opportunity. https://t.co/RdCSZMXgAr"
"143","If you want to learn more about what I do at @Zymergen and how we think about data science, see our new blog post! If it sounds interesting, we’re hiring! https://t.co/RhJoR8cNze"
"144","The pandemic exposed the need to think about tomorrow’s supply chains. How do we create resiliency and agility in the digital age? I love this explanation from @NelsonPetracek, @TIBCO CTO, who says the answer lies with data science and digital twins
https://t.co/9t1p1pDO8z"
"145","If you want to learn more about what I do at @Zymergen and how we think about data science, see our new blog post! If it sounds interesting, we’re hiring! https://t.co/RhJoR8cNze"
"146","If you want to learn more about what I do at @Zymergen and how we think about data science, see our new blog post! If it sounds interesting, we’re hiring! https://t.co/RhJoR8cNze"
"147","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"148","This hurts to say as a data science person, but I think 17lands is a net negative for limited *on its own terms*. Many have argued that it’s bad b/c players use the data wrong, but I think it’ll be worse once the formulas are ironed out and people use the data correctly."
"149","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"150","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
"151","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
"152","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
"153","@KarlMuth @economeager Many people are concerned but I personally think it's great. It gives people highly marketable work experience in data science. It reduces the share who enter a PhD and realize after 2 years of class work that they hate the research part. And unlike an MA, it's paid."
"154","EASY PATH. On this path, you will get lots of practical skills but only an intuitive sense of the theory. I think the easiest way to start is to read a good data science book and get your hands dirty. I like to recommend ""R for Data Science"" for that. https://t.co/BlHcAOsxJX"
"155","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"156","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"157","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"158","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"159","Librarians who support Data Science: What information literacy / scholarly communication / information landscape topics broadly defined do you think masters students need to know? Both while they are in their program but also after they graduate?"
"160","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
"161","According to the ads I’m seeing, Twitter thinks I should get a masters in data science and download apps to buy dogecoin. I’m not even kidding. 

I think I’ve finally officially made it to tech twitter, guys."
"162","Probably unpopular opinion, but I think it’s great. Basic stats and data science is probably more broadly relevant than calculus these days. Plus it sounds refreshing, and if done well, it will make school much more fun and help with data literacy :) https://t.co/N5jBadxW5O"
"163","A full time opportunity in sports analytics is rare, and it certainly takes luck and patience to find the right fit. So I think it's worth celebrating the wins where we get them. That being said, happy to announce I'll soon be joining the data science team at @swishanalytics 🏀"
